Label of tree,type,Twig a or b,Date,Live scale shoot 1,dead scale shoot 1,Live scale shoot 2,dead scale shoot 2,Live scale shoot 3,dead scale shoot 3,presence of parasitism,scale on new growth?,presence of fungus,encarsia,notes,
D-A4b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A4c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A4c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-A4d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-A4d,EHS,b,November,0,50,0,73,0,48,yes,no,no,,,
D-B4a,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-B4a,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B4b,EHS,a,November,0,0,0,0,0,0,no,no,no,1,,
D-B4b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B4c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B4c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-B4d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-B4d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C4a,EHS,a,November,0,2,0,0,0,0,no,no,no,1,,
D-C4a,EHS,b,November,0,0,0,0,0,0,no,no,no, ,,
D-C4b,EHS,a,November,0,0,0,0,0,0,no,no,no,0,,
D-C4b,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C4c,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C4c,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-C4d,EHS,a,November,0,0,0,0,0,0,no,no,no,,,
D-C4d,EHS,b,November,0,0,0,0,0,0,no,no,no,,,
D-D4a,EHS,a,November,0,0,0,0,0,0,no,no,no,4,,
D-D4a,EHS,b,November,0,1,2,1,1,2,no,no,no,,,
D-D4b,EHS,a,November,2,6,4,16,2,3,no,no,no,1,,
D-D4b,EHS,b,November,4,15,2,7,6,18,no,no,no,,,
D-D4c,EHS,a,November,14,22,1,15,14,31,no,no,no,,,
D-D4c,EHS,b,November,10,36,4,22,6,8,no,no,no,,,
D-D4d,EHS,a,November,10,20,9,20,5,16,no,no,no,,,
D-D4d,EHS,b,November,8,18,7,20,6,15,no,no,no,,,
D-A1a,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A1a,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A1b,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A1b,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A1c,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A1c,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
D-A1d,Crypto,a,November,0,0,0,0,0,0,no,,no,,,
D-A1d,Crypto,b,November,0,0,0,0,0,0,no,,no,,,
